               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.023392,            0.011783,                   0,               0.881,             0.89298,             0.90789,             0.67641,            0.021069,           0.0052081,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.023577,            0.011889,                   0,             0.88139,             0.90136,             0.90841,             0.67858,            0.020935,           0.0051801,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.023344,            0.011921,                   0,             0.87863,              0.8996,             0.90933,             0.67583,            0.020778,            0.005158,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.023155,            0.012005,                   0,              0.8824,             0.89494,             0.90716,             0.67613,            0.020578,           0.0051488,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.023133,            0.012193,                   0,             0.88037,             0.89892,              0.9078,             0.67667,            0.020657,           0.0051368,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.023137,            0.011984,                   0,             0.88006,             0.89218,              0.9066,             0.67555,            0.020703,           0.0051631,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.023819,            0.011832,                   0,             0.88068,             0.89031,             0.90592,             0.67518,            0.020788,           0.0051696,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.022733,            0.011603,                   0,             0.87769,             0.89353,             0.90703,             0.67703,            0.020761,           0.0051971,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.022976,            0.012033,                   0,             0.87321,             0.90035,             0.90774,             0.68001,              0.0207,           0.0051961,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.023212,             0.01185,                   0,             0.87337,             0.90167,             0.90614,             0.67813,            0.020607,           0.0052059,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.022899,            0.011714,                   0,             0.87189,             0.90345,             0.90365,              0.6789,            0.020579,           0.0052004,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.022992,            0.011577,                   0,             0.87873,             0.89354,             0.90373,             0.68009,            0.020655,            0.005181,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.023667,             0.01208,                   0,             0.87663,             0.89757,             0.90436,             0.67827,            0.020601,           0.0051763,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.02339,            0.011797,                   0,             0.87181,             0.90229,             0.90377,             0.67817,            0.020609,           0.0051706,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.022753,            0.011575,                   0,             0.87847,             0.89892,             0.90446,             0.68047,             0.02056,           0.0051801,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.023334,            0.011741,                   0,             0.87221,             0.90027,             0.90377,             0.67936,            0.020664,           0.0051853,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.02271,            0.011753,                   0,              0.8687,             0.90505,             0.90283,             0.67839,            0.020761,           0.0051898,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.022541,             0.01185,                   0,             0.87504,             0.90162,             0.90354,             0.67954,            0.020793,           0.0051878,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.022379,            0.011635,                   0,              0.8772,             0.90011,             0.90392,             0.67905,            0.020808,           0.0051842,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.022824,            0.011754,                   0,             0.87546,             0.90027,             0.90398,             0.67962,            0.020849,           0.0051858,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.022497,            0.011535,                   0,             0.87114,             0.90202,             0.90505,             0.67917,              0.0209,             0.00519,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.022669,            0.011714,                   0,             0.87949,             0.89508,             0.90503,             0.67944,              0.0209,           0.0051976,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.022965,            0.011619,                   0,             0.87858,             0.89713,             0.90561,             0.68094,            0.020926,           0.0051886,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.022174,            0.011678,                   0,             0.88117,              0.8969,             0.90682,             0.68072,            0.020957,           0.0051907,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.022178,            0.011514,                   0,             0.88455,             0.89555,              0.9078,             0.68082,            0.020986,           0.0051892,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.022742,            0.011488,                   0,             0.88436,             0.89665,             0.90855,             0.68155,            0.020989,           0.0051939,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.022337,            0.011546,                   0,              0.8855,             0.89555,             0.90696,             0.67949,            0.021022,           0.0052005,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.021918,              0.0114,                   0,              0.8892,             0.89228,             0.90759,             0.67949,            0.021059,           0.0051948,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.022307,            0.011736,                   0,             0.89055,             0.89353,             0.90681,             0.68027,            0.021025,           0.0051868,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.022552,            0.011477,                   0,             0.88998,             0.89393,             0.90614,             0.67874,            0.021015,           0.0051883,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.021656,            0.011334,                   0,             0.89051,             0.89332,             0.90455,             0.67725,            0.020978,           0.0051941,                   0,            0.005347,            0.005347,            0.005347
